time,timestamp,voltage,current,remaining,remaining_c,remaining_v,SOH,initial,connected,reserved1,reserved2,uctimestamp,init_SOC,resistance,cvoltage,cvoltage_orin
13.109취,15913,1335,0,-1,0,-1,100,0,0,0,0,15913,0,0.02,0,0
13.209취,16013,1336,0,-1,0,-1,100,0,0,0,0,16013,0,0.02,0,0
13.309취,16113,1338,0,-1,0,-1,100,0,0,0,0,16113,0,0.02,0,0
13.409취,16213,1337,0,-1,0,-1,100,0,0,0,0,16213,0,0.02,0,0
13.509취,16313,1342,0,-1,0,-1,100,0,0,0,0,16313,0,0.02,0,0
13.609취,16413,1339,0,-1,0,-1,100,0,0,0,0,16413,0,0.02,0,0
13.709취,16513,1335,0,-1,0,-1,100,0,0,0,0,16513,0,0.02,0,0
13.809취,16613,1337,0,-1,0,-1,100,0,0,0,0,16613,0,0.02,0,0
13.909취,16713,1338,0,-1,0,-1,100,0,0,0,0,16713,0,0.02,0,0
14.009취,16813,1335,0,-1,0,-1,100,0,0,0,0,16813,0,0.02,0,0
14.109취,16913,1337,0,-1,0,-1,100,0,0,0,0,16913,0,0.02,0,0
14.209취,17013,1327,0,-1,0,-1,100,0,0,0,0,17013,0,0.02,0,0
14.309취,17113,1334,0,-1,0,-1,100,0,0,0,0,17113,0,0.02,0,0
14.409취,17213,1336,0,-1,0,-1,100,0,0,0,0,17213,0,0.02,0,0
14.509취,17313,1338,0,-1,0,-1,100,0,0,0,0,17313,0,0.02,0,0
14.609취,17413,1339,0,-1,0,-1,100,0,0,0,0,17413,0,0.02,0,0
14.709취,17513,1338,0,-1,0,-1,100,0,0,0,0,17513,0,0.02,0,0
14.809취,17613,1340,0,-1,0,-1,100,0,0,0,0,17613,0,0.02,0,0
14.909취,17713,1341,0,-1,0,-1,100,0,0,0,0,17713,0,0.02,0,0
15.009취,17813,1335,0,-1,0,-1,100,0,0,0,0,17813,0,0.02,0,0
15.109취,17913,1334,0,-1,0,-1,100,0,0,0,0,17913,0,0.02,0,0
15.209취,18013,1339,0,-1,0,-1,100,0,0,0,0,18013,0,0.02,0,0
15.309취,18113,1339,0,-1,0,-1,100,0,0,0,0,18113,0,0.02,0,0
15.409취,18213,1340,0,-1,0,-1,100,0,0,0,0,18213,0,0.02,0,0
15.509취,18313,1337,0,-1,0,-1,100,0,0,0,0,18313,0,0.02,0,0
15.609취,18413,1334,0,-1,0,-1,100,0,0,0,0,18413,0,0.02,0,0
15.709취,18513,1338,0,-1,0,-1,100,0,0,0,0,18513,0,0.02,0,0
15.809취,18613,1335,0,-1,0,-1,100,0,0,0,0,18613,0,0.02,0,0
15.909취,18713,1333,0,-1,0,-1,100,0,0,0,0,18713,0,0.02,0,0
16.009취,18813,1338,0,-1,0,-1,100,0,0,0,0,18813,0,0.02,0,0
16.109취,18913,1337,0,-1,0,-1,100,0,0,0,0,18913,0,0.02,0,0
16.209취,19013,1342,0,-1,0,-1,100,0,0,0,0,19013,0,0.02,0,0
16.309취,19113,1338,0,-1,0,-1,100,0,0,0,0,19113,0,0.02,0,0
16.409취,19213,1336,0,-1,0,-1,100,0,0,0,0,19213,0,0.02,0,0
16.509취,19313,1337,0,-1,0,-1,100,0,0,0,0,19313,0,0.02,0,0
16.609취,19413,1341,0,-1,0,-1,100,0,0,0,0,19413,0,0.02,0,0
16.709취,19513,1322,0,-1,0,-1,100,0,0,0,0,19513,0,0.02,0,0
16.809취,19613,1302,0,-1,0,-1,100,0,0,0,0,19613,0,0.02,0,0
16.909취,19713,1313,0,-1,0,-1,100,0,0,0,0,19713,0,0.02,0,0
17.009취,19813,1314,0,-1,0,-1,100,0,0,0,0,19813,0,0.02,0,0
17.109취,19913,1291,0,-1,0,-1,100,0,0,0,0,19913,0,0.02,0,0
17.209취,20013,1298,0,-1,0,-1,100,0,0,0,0,20013,0,0.02,0,0
17.309취,20113,1285,0,-1,0,-1,100,0,0,0,0,20113,0,0.02,0,0
17.409취,20213,1300,0,-1,0,-1,100,0,0,0,0,20213,0,0.02,0,0
17.509취,20313,1296,0,-1,0,-1,100,0,0,0,0,20313,0,0.02,0,0
17.609취,20413,1273,0,-1,0,-1,100,0,0,0,0,20413,0,0.02,0,0
17.709취,20513,1298,0,-1,0,-1,100,0,0,0,0,20513,0,0.02,0,0
17.809취,20613,1293,0,-1,0,-1,100,0,0,0,0,20613,0,0.02,0,0
17.909취,20713,1292,0,-1,0,-1,100,0,0,0,0,20713,0,0.02,0,0
18.009취,20813,1287,0,-1,0,-1,100,0,0,0,0,20813,0,0.02,0,0
18.109취,20913,1298,0,-1,0,-1,100,0,0,0,0,20913,0,0.02,0,0
18.209취,21013,1283,0,-1,0,-1,100,0,0,0,0,21013,0,0.02,0,0
18.309취,21113,1286,0,-1,0,-1,100,0,0,0,0,21113,0,0.02,0,0
18.409취,21213,1287,0,-1,0,-1,100,0,0,0,0,21213,0,0.02,0,0
18.509취,21313,1279,0,-1,0,-1,100,0,0,0,0,21313,0,0.02,0,0
18.609취,21413,1270,0,-1,0,-1,100,0,0,0,0,21413,0,0.02,0,0
18.709취,21513,1273,0,-1,0,-1,100,0,0,0,0,21513,0,0.02,0,0
18.809취,21613,1276,0,-1,0,-1,100,0,0,0,0,21613,0,0.02,0,0
18.909취,21713,1281,0,-1,0,-1,100,0,0,0,0,21713,0,0.02,0,0
19.009취,21813,1281,0,-1,0,-1,100,0,0,0,0,21813,0,0.02,0,0
19.109취,21913,1271,0,-1,0,-1,100,0,0,0,0,21913,0,0.02,0,0
19.209취,22013,1273,0,-1,0,-1,100,0,0,0,0,22013,0,0.02,0,0
19.309취,22113,1266,0,-1,0,-1,100,0,0,0,0,22113,0,0.02,0,0
19.409취,22213,1274,0,-1,0,-1,100,0,0,0,0,22213,0,0.02,0,0
19.509취,22313,1270,0,-1,0,-1,100,0,0,0,0,22313,0,0.02,0,0
19.609취,22413,1262,0,-1,0,-1,100,0,0,0,0,22413,0,0.02,0,0
19.709취,22513,1280,0,-1,0,-1,100,0,0,0,0,22513,0,0.02,0,0
19.809취,22613,1268,0,-1,0,-1,100,0,0,0,0,22613,0,0.02,0,0
19.909취,22713,1257,0,-1,0,-1,100,0,0,0,0,22713,0,0.02,0,0
20.009취,22813,1266,0,-1,0,-1,100,0,0,0,0,22813,0,0.02,0,0
20.109취,22913,1267,0,-1,0,-1,100,0,0,0,0,22913,0,0.02,0,0
20.209취,23013,1268,0,-1,0,-1,100,0,0,0,0,23013,0,0.02,0,0
20.309취,23113,1254,0,-1,0,-1,100,0,0,0,0,23113,0,0.02,0,0
20.409취,23213,1271,0,-1,0,-1,100,0,0,0,0,23213,0,0.02,0,0
20.509취,23313,1273,0,-1,0,-1,100,0,0,0,0,23313,0,0.02,0,0
20.609취,23413,1266,0,-1,0,-1,100,0,0,0,0,23413,0,0.02,0,0
20.709취,23513,1249,0,-1,0,-1,100,0,0,0,0,23513,0,0.02,0,0
20.809취,23613,1260,0,-1,0,-1,100,0,0,0,0,23613,0,0.02,0,0
20.909취,23713,1264,0,-1,0,-1,100,0,0,0,0,23713,0,0.02,0,0
21.009취,23813,1258,0,-1,0,-1,100,0,0,0,0,23813,0,0.02,0,0
21.109취,23913,1267,0,-1,0,-1,100,0,0,0,0,23913,0,0.02,0,0
21.209취,24013,1259,0,-1,0,-1,100,0,0,0,0,24013,0,0.02,0,0
21.309취,24113,1269,0,-1,0,-1,100,0,0,0,0,24113,0,0.02,0,0
21.409취,24213,1276,0,-1,0,-1,100,0,0,0,0,24213,0,0.02,0,0
21.509취,24313,1270,0,-1,0,-1,100,0,0,0,0,24313,0,0.02,0,0
21.609취,24413,1289,0,-1,0,-1,100,0,0,0,0,24413,0,0.02,0,0
21.709취,24513,1259,0,-1,0,-1,100,0,0,0,0,24513,0,0.02,0,0
21.809취,24613,1226,0,-1,0,-1,100,0,0,0,0,24613,0,0.02,0,0
21.909취,24713,1252,0,-1,0,-1,100,0,0,0,0,24713,0,0.02,0,0
22.009취,24813,1250,0,-1,0,-1,100,0,0,0,0,24813,0,0.02,0,0
22.109취,24913,1255,0,-1,0,-1,100,0,0,0,0,24913,0,0.02,0,0
22.209취,25013,1261,0,-1,0,-1,100,0,0,0,0,25013,0,0.02,0,0
22.309취,25113,1257,0,-1,0,-1,100,0,0,0,0,25113,0,0.02,0,0
22.409취,25213,1255,0,-1,0,-1,100,0,0,0,0,25213,0,0.02,0,0
22.509취,25313,1256,0,-1,0,-1,100,0,0,0,0,25313,0,0.02,0,0
22.609취,25413,1257,0,-1,0,-1,100,0,0,0,0,25413,0,0.02,0,0
22.709취,25513,1263,0,-1,0,-1,100,0,0,0,0,25513,0,0.02,0,0
22.809취,25613,1251,0,-1,0,-1,100,0,0,0,0,25613,0,0.02,0,0
22.909취,25713,1251,0,-1,0,-1,100,0,0,0,0,25713,0,0.02,0,0
23.009취,25813,1266,0,-1,0,-1,100,0,0,0,0,25813,0,0.02,0,0
23.109취,25913,1250,0,-1,0,-1,100,0,0,0,0,25913,0,0.02,0,0
23.209취,26013,1243,0,-1,0,-1,100,0,0,0,0,26013,0,0.02,0,0
23.309취,26113,1263,0,-1,0,-1,100,0,0,0,0,26113,0,0.02,0,0
23.409취,26213,1260,0,-1,0,-1,100,0,0,0,0,26213,0,0.02,0,0
23.509취,26313,1248,0,-1,0,-1,100,0,0,0,0,26313,0,0.02,0,0
