time,timestamp,phi,theta,psi,p,q,r,ax,ay,az,vn,ve,vd,airspeed,lat,lon,alt,lat_0,lon_0,alt_0,dx_dlat,dy_dlon,x_R,y_R,h_R,h_AGL,flag,status
3.202취,3202,0.02517634,-0.0398488,1.278442,0.0007387351,0.001393168,0.0006860873,-0.3577871,-0.2417577,-9.768566,0.01131341,0.0152111,0.03874112,0.1,0.394492806233143,1.98952331023629,50.8432031726879,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1022961,-0.04138336,-0.03791777,-0.03791777,255,29
3.302취,3302,0.02534174,-0.03949202,1.278988,0.0008050473,-0.001450742,0.001785354,-0.3797597,-0.2397584,-9.761054,0.008816669,0.01345436,0.04197161,0.1,0.394492806392378,1.98952331047659,50.8392145192665,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1012858,-0.0399677,-0.04190643,-0.04190643,255,29
3.402취,3402,0.02552081,-0.03949478,1.279458,2.943404e-05,-0.001630259,-0.00103626,-0.3827495,-0.2359978,-9.756272,0.005109515,0.009366983,0.05063505,0.1,0.394492806505391,1.98952331068234,50.8346907390696,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1005687,-0.03875561,-0.04643021,-0.04643021,255,29
3.502취,3502,0.02559135,-0.03930886,1.279845,0.001419193,0.003831639,-0.0007927134,-0.3846105,-0.2359797,-9.759004,0.0001226602,0.004398123,0.06012751,0.1,0.394492806546727,1.98952331079331,50.8289852520866,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1003065,-0.03810184,-0.05213569,-0.05213569,255,29
3.602취,3602,0.02564106,-0.03918599,1.279665,-0.0004858233,-0.001276297,0.0006248506,-0.3769796,-0.250738,-9.779366,-0.002703549,0.002588289,0.05923107,0.1,0.394492806518571,1.98952331084554,50.8230177095575,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1004851,-0.03779417,-0.05810324,-0.05810324,255,29
3.702취,3702,0.0255436,-0.03942839,1.279843,-0.0005430422,-0.002100741,0.0009717005,-0.3880359,-0.2366961,-9.746173,-0.00299827,0.003773401,0.05578911,0.1,0.394492806468117,1.98952331089506,50.8172826288683,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1008052,-0.03750242,-0.06383832,-0.06383832,255,29
3.802취,3802,0.02541411,-0.03959399,1.280035,0.000995482,0.001008384,0.0004469433,-0.3764381,-0.2458285,-9.770411,-0.001354709,0.006409787,0.04850266,0.1,0.394492806435648,1.98952331098127,50.8119072137815,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1010112,-0.03699457,-0.06921373,-0.06921373,255,29
3.902취,3902,0.02547044,-0.03964672,1.280454,0.002224932,-0.00389289,-0.0002974176,-0.3819955,-0.2450603,-9.784129,-0.002848705,0.007987341,0.03233142,0.1,0.3944928064117,1.98952331110315,50.8079080922944,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1011632,-0.03627656,-0.07321285,-0.07321285,255,29
4.002취,4002,0.02571234,-0.03951225,1.280588,-0.0009566132,0.001782965,0.0008501244,-0.3844399,-0.2445649,-9.790516,-0.005056637,0.008902009,0.0176533,0.1,0.394492806341505,1.98952331124647,50.805304002617,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1016086,-0.03543225,-0.07581694,-0.07581694,255,29
4.102취,4102,0.02575833,-0.0395631,1.280744,8.884049e-05,0.00146734,0.00182929,-0.3731304,-0.2455275,-9.795375,-0.006853972,0.008859126,0.001361632,0.1,0.394492806251598,1.98952331139684,50.8043950243336,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.102179,-0.03454639,-0.07672592,-0.07672592,255,29
4.202취,4202,0.02583079,-0.03950996,1.281217,-0.001196764,0.0008436207,0.0007935626,-0.3987869,-0.2619346,-9.806159,-0.01147705,0.009820225,-0.01040001,0.1,0.394492806109576,1.98952331155219,50.8048084197981,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1030801,-0.03363119,-0.07631253,-0.07631253,255,29
4.302취,4302,0.02604197,-0.03942723,1.281306,-0.001707653,0.0007420987,-0.0006261601,-0.3906923,-0.2315347,-9.799232,-0.01520595,0.009196884,-0.02142031,0.1,0.39449280589168,1.9895233117355,50.8065241767508,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1044626,-0.03255127,-0.07459677,-0.07459677,255,29
4.402취,4402,0.025828,-0.03915635,1.281608,-0.0005119779,-0.001374082,-0.001428931,-0.3704373,-0.2221344,-9.78754,-0.01296624,0.007655174,-0.0214063,0.1,0.394492805657483,1.98952331185358,50.8088294683439,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1059486,-0.03185562,-0.07229148,-0.07229148,255,29
4.502취,4502,0.0256716,-0.03952963,1.281706,-0.001175919,0.0007414385,-0.0005465929,-0.3807118,-0.2533599,-9.795471,-0.008139085,0.009464903,-0.01582194,0.1,0.394492805495986,1.98952331201728,50.8105245275838,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1069733,-0.03089124,-0.07059642,-0.07059642,255,29
4.602취,4602,0.02559313,-0.03943374,1.281828,0.001441442,0.001444425,0.0003960987,-0.3846707,-0.2225133,-9.788115,-0.005501316,0.009979829,-0.01568821,0.1,0.394492805389819,1.98952331215452,50.8122333405954,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1076469,-0.03008273,-0.06888761,-0.06888761,255,29
4.702취,4702,0.02569456,-0.03968901,1.282004,0.0003492901,0.001089785,0.0001202817,-0.3826658,-0.2338481,-9.781666,-0.003944449,0.01481326,-0.01243591,0.1,0.394492805319011,1.98952331238888,50.8135574130756,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1080961,-0.02870211,-0.06756353,-0.06756353,255,29
4.802취,4802,0.02570112,-0.03941667,1.282176,-0.001033375,-0.005237512,7.398418e-05,-0.3660492,-0.2423635,-9.810992,-0.001868774,0.01100695,-0.007895329,0.1,0.394492805269921,1.98952331260942,50.8147269307119,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1084076,-0.02740288,-0.06639402,-0.06639402,255,29
4.902취,4902,0.0255282,-0.03925522,1.282199,0.0009185809,0.003237936,0.0008752855,-0.3760336,-0.2554919,-9.784103,0.002238314,0.00614833,0.004882023,0.1,0.394492805267906,1.98952331275722,50.8148710696441,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1084204,-0.02653216,-0.06624988,-0.06624988,255,29
5.002취,5002,0.02542418,-0.03900022,1.282472,0.0008506913,-0.0003301092,0.000639608,-0.3778087,-0.2663651,-9.778338,0.00498886,0.0002076176,0.01412331,0.1,0.394492805335705,1.9895233128198,50.8138298882586,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1079902,-0.0261635,-0.06729106,-0.06729106,255,29
5.102취,5102,0.0254911,-0.03876225,1.2826,0.0006017691,0.005412234,-0.0007522772,-0.3695155,-0.2421917,-9.769053,0.002634099,-0.007404308,0.02046691,0.1,0.394492805400964,1.98952331275666,50.8122676430685,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1075762,-0.02653544,-0.0688533,-0.0688533,255,29
